
Analysis:Analysis1, Loadset:LoadSet1
max_beam_bending, 0
max_beam_tensile, 0
max_beam_torsion, 0
max_beam_total, 0
max_disp_mag, 5.67742e-07, 1.14835, 0.4375, 6.5
max_disp_x, -7.17051e-08, 4.76853, 1, 5.16627
max_disp_y, -5.67739e-07, 1.14835, 0.4375, 6.5
max_disp_z, -3.68342e-08, 4.71435, 1, -5.03308
max_prin_mag, -4027.16, 4.59014, 1, 5.16702
max_rot_mag, 0, -7.23907, 0.5, 3.55003
max_rot_x, 0, 5.14262, 0.660499, 4.10102
max_rot_y, 0, 5.14262, 0.660499, 4.10102
max_rot_z, 0, 5.14262, 0.660499, 4.10102
max_stress_prin, 1072.47, 4.59014, 1, 5.16702
max_stress_vm, 4431.85, 4.59014, 1, 5.16702
max_stress_xx, -1949.69, 4.64219, 1, 5.21624
max_stress_xy, -1250.67, 4.58997, 1, -5.16667
max_stress_xz, -1167.49, 4.59014, 1, 5.16702
max_stress_yy, -3648.93, 4.59014, 1, 5.16702
max_stress_yz, -1216.24, -7.29846, 1, 3.45962
max_stress_zz, -1305.2, 4.59014, 1, 5.16702
min_stress_prin, -4027.16, 4.59014, 1, 5.16702
strain_energy, 9.28874e-06
